date,open,close,high,low
2019-10-23,8020.0,7466.62,8047.59,7300.0
2019-10-24,7466.62,7412.41,7503.68,7337.99
2019-10-25,7412.41,8655.02,8706.07,7361.0
2019-10-26,8655.02,9230.0,10060.21,8470.38
2019-10-27,9230.0,9529.93,9794.98,9074.34
2019-10-28,9529.93,9205.14,9902.1,9160.0
2019-10-29,9205.14,9407.62,9550.0,9072.0
2019-10-30,9407.62,9154.72,9409.84,9001.01
2019-10-31,9154.72,9140.85,9405.0,8913.0
2019-11-01,9140.85,9231.61,9279.0,9030.0
2019-11-02,9231.61,9289.52,9373.74,9186.21
2019-11-03,9289.52,9194.71,9362.57,9066.14
2019-11-04,9194.71,9393.35,9513.68,9115.84
2019-11-05,9393.35,9308.66,9454.95,9175.76
2019-11-06,9308.66,9339.05,9440.91,9250.01
2019-11-07,9339.05,9216.2,9375.0,9101.0
2019-11-08,9216.2,8773.73,9261.0,8696.0
2019-11-09,8773.73,8809.41,8880.0,8724.88
2019-11-10,8809.41,9039.47,9147.19,8750.0
2019-11-11,9039.47,8733.27,9072.32,8618.68
2019-11-12,8733.27,8821.94,8888.0,8567.6
2019-11-13,8821.94,8777.12,8844.99,8702.0
2019-11-14,8777.12,8646.68,8800.0,8582.6
2019-11-15,8646.68,8471.73,8790.0,8400.0
2019-11-16,8471.73,8491.02,8543.0,8400.0
2019-11-17,8491.02,8502.4,8635.0,8350.68
2019-11-18,8502.4,8187.17,8503.52,8060.0
2019-11-19,8187.17,8133.64,8218.63,8003.0
2019-11-20,8133.64,8098.01,8264.29,8038.4
2019-11-21,8098.01,7627.74,8134.73,7500.0
2019-11-22,7627.74,7268.23,7750.0,6790.0
2019-11-23,7268.23,7311.57,7344.48,7080.01
2019-11-24,7311.57,6903.28,7330.39,6861.0
2019-11-25,6903.28,7109.57,7377.69,6515.0
2019-11-26,7109.57,7156.14,7340.0,7017.48
2019-11-27,7156.14,7508.52,7655.0,6840.0
2019-11-28,7508.52,7419.49,7643.0,7360.0
2019-11-29,7419.49,7739.68,7850.0,7362.3
2019-11-30,7739.68,7541.89,7810.0,7441.0
2019-12-01,7541.89,7390.89,7541.89,7210.0
2019-12-02,7390.89,7294.28,7420.56,7151.1
2019-12-03,7294.28,7292.71,7400.0,7241.35
2019-12-04,7292.71,7194.32,7750.0,7067.0
2019-12-05,7194.32,7389.0,7485.0,7150.0
2019-12-06,7389.0,7527.47,7590.03,7305.0
2019-12-07,7527.47,7488.21,7619.62,7470.16
2019-12-08,7488.21,7510.11,7564.0,7374.86
2019-12-09,7510.11,7338.64,7650.0,7273.0
2019-12-10,7338.64,7224.13,7407.6,7157.1
2019-12-11,7224.13,7210.0,7275.5,7125.66
2019-12-12,7210.0,7198.08,7295.0,7080.3
2019-12-13,7198.08,7258.48,7309.05,7190.76
2019-12-14,7258.48,7064.05,7271.77,7012.0
2019-12-15,7064.05,7118.59,7200.3,7008.35
2019-12-16,7118.59,6891.72,7150.0,6836.0
2019-12-17,6891.72,6623.82,6942.21,6560.0
2019-12-18,6623.82,7277.83,7440.0,6435.0
2019-12-19,7277.83,7150.3,7380.0,7038.31
2019-12-20,7150.3,7187.83,7220.0,7079.5
2019-12-21,7187.83,7132.75,7190.58,7105.0
2019-12-22,7132.75,7501.44,7518.54,7122.47
2019-12-23,7501.44,7317.09,7695.38,7265.84
2019-12-24,7317.09,7255.77,7436.68,7157.04
2019-12-25,7255.77,7204.63,7271.77,7128.86
2019-12-26,7204.63,7202.0,7435.0,7157.12
2019-12-27,7202.0,7254.74,7275.86,7076.42
2019-12-28,7254.74,7316.14,7365.01,7238.67
2019-12-29,7316.14,7388.24,7528.45,7288.0
2019-12-30,7388.24,7246.0,7408.24,7220.0
2019-12-31,7246.0,7195.23,7320.0,7145.01
2020-01-01,7195.23,7200.85,7255.0,7175.15
2020-01-02,7200.85,6965.71,7212.5,6924.74
2020-01-03,6965.71,7344.96,7405.0,6871.04
2020-01-04,7344.96,7354.11,7404.0,7272.21
2020-01-05,7354.11,7358.75,7495.0,7318.0
2020-01-06,7358.75,7758.0,7795.34,7346.76
2020-01-07,7758.0,8145.28,8207.68,7723.71
2020-01-08,8145.28,8055.98,8455.0,7870.0
2020-01-09,8055.98,7817.76,8055.98,7750.0
2020-01-10,7817.76,8197.02,8199.0,7672.0
2020-01-11,8197.02,8020.01,8286.34,8003.16
2020-01-12,8020.01,8184.98,8197.0,7960.0
2020-01-13,8184.98,8110.34,8196.0,8055.89
2020-01-14,8110.34,8810.01,8880.0,8105.54
