lookback,future,pos,val,temp,mse_Auto,mae_Auto,rmse_Auto,mape_Auto,mspe_Auto,rse_Auto,R2_Auto,mse_Inf,mae_Inf,rmse_Inf,mape_Inf,mspe_Inf,rse_Inf,R2_Inf,mse_Tra,mae_Tra,rmse_Tra,mape_Tra,mspe,rse,R2_Tra,mse_LSTM,mae_LSTM,rmse_LSTM,mape_LSTM,R2_LSTM,data_type
144,24,False,False,False,0.01411693,0.08909138,0.11881467,0.03824772,0.00264538,0.27445948,0.92445858,0.02035638,0.1089317,0.1426758,0.04590438,0.00359171,0.32957822,0.89119505,0.01046269,0.0755043,0.10228731,0.0320103,0.00191022,0.23628162,0.94392225,0.44835895,0.60954854,0.66959611,0.27897443,-1.39281339,original
144,96,False,False,False,0.03670348,0.14502656,0.19158152,0.06265701,0.00712206,0.45316032,0.79083591,0.04726514,0.17002092,0.21740547,0.07199021,0.00844722,0.51424336,0.73191483,0.07311533,0.21762259,0.27039847,0.09548642,0.01486454,0.63959122,0.58510422,0.67000567,0.75298008,0.81853874,0.34489985,-2.7538419,original
144,192,False,False,False,0.07646397,0.21730772,0.27652118,0.0940579,0.01489126,0.67661762,0.52162519,0.13901161,0.31381896,0.37284261,0.13766882,0.02828426,0.91230571,0.15757552,0.08891326,0.24093378,0.29818326,0.105402,0.01784696,0.72962242,0.44399632,0.74405047,0.79565024,0.8625836,0.36438602,-3.4652783,original
144,336,False,False,False,0.11061013,0.26884454,0.33258101,0.11654206,0.02130982,0.85562319,0.18538933,0.36215454,0.53159046,0.60179275,0.23679869,0.07607161,1.54821777,-1.59054337,0.26235652,0.44300917,0.51220751,0.1960987,0.05370987,1.3177439,-0.89377587,0.76272655,0.810145,0.87334217,0.37090644,-4.0486796,original
144,720,False,False,False,0.19553086,0.35176516,0.44218871,0.1536864,0.03884568,1.25189555,-1.0371244,0.57062507,0.65225828,0.75539732,0.29353943,0.12275977,2.13863111,-5.12718461,0.65435028,0.73238587,0.80891919,0.32757831,0.13897853,2.29015875,-5.82439488,1.11357318,0.99504875,1.05525977,0.45485641,-7.92708875,original
168,1,False,False,False,0.01369728,0.08316601,0.1170354,0.03601219,0.00273106,0.27263436,0.92567052,0.01007762,0.07369098,0.10038733,0.03126571,0.00182236,0.23385264,0.94531295,0.00106163,0.02429159,0.03258262,0.01018712,0.00018531,0.07590133,0.99423899,0.17798959,0.3764682,0.42188813,0.17070985,0.03354776,original
168,12,False,False,False,0.01798969,0.10069314,0.13412564,0.04278347,0.00325205,0.3133308,0.90172956,0.01860928,0.09998253,0.13641582,0.04281998,0.00350939,0.31868088,0.89837465,0.0064579,0.06154405,0.08036107,0.02608381,0.00116856,0.18773142,0.96472229,0.01021086,0.08127212,0.10104879,0.03552979,0.94425626,original
168,24,False,False,False,0.02077608,0.10961105,0.14413911,0.04726017,0.00395109,0.33795893,0.88554229,0.0230085,0.11554711,0.15168554,0.04916395,0.00416838,0.35565281,0.87339561,0.01449028,0.09405768,0.12037557,0.04020467,0.00268731,0.28224123,0.92010092,0.45402713,0.6139632,0.67381535,0.28140064,-1.4960704,original
168,96,False,False,False,0.04133889,0.15906438,0.20331968,0.06810378,0.00776322,0.49000221,0.75546652,0.0509496,0.17793636,0.22572018,0.07645886,0.00949052,0.54398757,0.6995905,0.04181513,0.15768951,0.20448747,0.06843551,0.00830738,0.4928166,0.75195585,0.68176205,0.76046587,0.82568884,0.34864001,-2.96175577,original
168,192,False,False,False,0.06477356,0.20163555,0.2545065,0.08700529,0.01241697,0.63511574,0.57886006,0.17380325,0.32824728,0.41689718,0.14119679,0.03321071,1.0403583,-0.14305127,0.10982788,0.27264979,0.3314029,0.11954539,0.02210691,0.82700908,0.28833446,0.78928675,0.82111854,0.88841812,0.37628154,-3.920361,original
168,336,False,False,False,0.11640651,0.27698597,0.34118399,0.11981589,0.0221612,0.89269036,0.09794545,0.22189131,0.38245282,0.47105342,0.16715299,0.04411363,1.23248696,-0.69539498,0.23454711,0.41449884,0.48430064,0.18352377,0.048054,1.26714778,-0.76475693,0.82629476,0.84805107,0.90900757,0.3880013,-4.69983443,original
168,720,False,False,False,0.19362767,0.34923813,0.44003144,0.1532273,0.03910427,1.25844526,-1.02539612,0.66853768,0.73630184,0.81764156,0.33039284,0.14276865,2.33837199,-5.92732992,0.55173308,0.65926284,0.74278736,0.29438311,0.11692693,2.12429643,-4.86778314,0.39224391,0.54838896,0.62629379,0.25559472,-2.24928211,original
192,1,False,False,False,0.0068196,0.06298561,0.08258086,0.02692585,0.00125988,0.1952353,0.96188318,0.01097716,0.07768443,0.10477194,0.03324902,0.00203092,0.24769883,0.93864528,0.00097696,0.02310758,0.03125643,0.0099304,0.0001856,0.07389555,0.99453945,0.19239208,0.39297918,0.43862521,0.1789271,-0.07533837,original
192,12,False,False,False,0.0174683,0.10263111,0.13216771,0.04400183,0.00333185,0.31372637,0.90145247,0.01669377,0.09759664,0.12920436,0.04120801,0.00296925,0.30669224,0.90592969,0.00655927,0.06105045,0.0809893,0.02579433,0.00117351,0.19224423,0.96296679,0.02204759,0.1234672,0.14848432,0.05664358,0.87571363,original
192,24,False,False,False,0.01999268,0.10771031,0.14139546,0.04655531,0.00390383,0.33726844,0.88589222,0.0468139,0.17530832,0.2163652,0.07551311,0.00893117,0.5160926,0.73372993,0.01035654,0.07401601,0.10176707,0.03149904,0.00189025,0.2427434,0.94075548,0.43718904,0.60063319,0.66120272,0.27577488,-1.48748666,original
192,96,False,False,False,0.05673634,0.18490113,0.2381939,0.08049098,0.01130577,0.58518577,0.65084884,0.05456615,0.18249342,0.23359399,0.07818458,0.0100985,0.57388484,0.66545338,0.04157819,0.15556709,0.20390731,0.06593203,0.00762056,0.50095177,0.74331645,0.69605102,0.76966667,0.83429672,0.35317187,-3.2011784,original
192,192,False,False,False,0.07217583,0.21222872,0.2686556,0.09187198,0.01392181,0.68376207,0.51021678,0.16416642,0.3418667,0.40517455,0.15006872,0.03308469,1.03121984,-0.08454182,0.09107479,0.24405694,0.30178601,0.10690905,0.01820264,0.7680831,0.38575487,0.76661261,0.81110218,0.87556417,0.37189983,-3.96604148,original
192,336,False,False,False,0.13675426,0.30270869,0.36980301,0.13165854,0.02642518,0.99032444,-0.08855346,0.26919466,0.44284302,0.51883972,0.19534145,0.05455479,1.38944149,-1.08396998,0.24577396,0.4272446,0.49575594,0.18824013,0.04950332,1.32762361,-0.98260538,0.77542478,0.82114074,0.88058207,0.37617216,-4.58797007,original
192,720,False,False,False,0.19560735,0.35360521,0.4422752,0.1556208,0.03979386,1.28842342,-1.07777962,0.53722537,0.63222581,0.73295659,0.28452083,0.11561777,2.13522792,-4.93605938,0.35619181,0.51501006,0.59681809,0.23172894,0.07693881,1.73863328,-2.85286693,0.4618486,0.60363904,0.67959444,0.28112891,-2.95233955,original
336,1,False,False,False,0.0209225,0.11317081,0.14464612,0.04934229,0.00415178,0.38621423,0.85083857,0.01213156,0.07915486,0.11014335,0.03368016,0.00214476,0.29408962,0.91351129,0.00284966,0.04242758,0.05338224,0.01732852,0.00044893,0.14253393,0.97968408,0.1654295,0.35959277,0.40673025,0.16662289,-0.17868986,original
336,12,False,False,False,0.04772786,0.17465216,0.21846706,0.07627578,0.00938527,0.58640218,0.65653733,0.02002325,0.10745727,0.14150354,0.0463166,0.00373561,0.37981921,0.85570398,0.00555225,0.05412979,0.07451341,0.02313881,0.00101548,0.20000646,0.95991097,0.00660671,0.06203812,0.08128167,0.02742824,0.95241399,original
336,24,False,False,False,0.03280091,0.13648769,0.18111022,0.05938611,0.00640167,0.4879494,0.76129506,0.03306854,0.14101869,0.18184757,0.06032643,0.00598406,0.48993599,0.75972764,0.0117435,0.08135042,0.10836741,0.0353076,0.00224683,0.29196486,0.91446054,0.4596226,0.61793973,0.67795472,0.28631817,-2.33592996,original
336,96,False,False,False,0.05211699,0.17899258,0.22829145,0.07805938,0.01019598,0.62941313,0.59884581,0.0723299,0.21797399,0.26894218,0.09521857,0.01405927,0.74148965,0.4431233,0.04281736,0.15687406,0.20692356,0.06874055,0.00860349,0.57050061,0.66770288,0.63697099,0.7402593,0.79810462,0.34134015,-3.84739624,original
336,192,False,False,False,0.08930299,0.24521071,0.29883605,0.10690651,0.01725158,0.86383742,0.20933847,0.15706609,0.31678849,0.39631563,0.13782474,0.03057077,1.14561915,-0.40777835,0.1581893,0.33462831,0.39773017,0.14808325,0.03221979,1.14970803,-0.40230006,0.84831467,0.86648466,0.92104,0.39784694,-6.10379946,original
336,336,False,False,False,0.10341586,0.26200366,0.32158336,0.11453357,0.02015029,0.97853756,-0.04916989,0.3950057,0.53040278,0.6284948,0.23398982,0.08037394,1.91243005,-3.11225909,0.3866466,0.53438175,0.62180912,0.24174382,0.08400289,1.89208663,-2.99110389,0.79667032,0.84387432,0.8925639,0.38738457,-6.37711648,original
