model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,6,24,FALSE,FALSE,TRUE,0.00995657,0.10846459,0.07136984,0.29058859,0.0997826,0.32933962,0.02963515,0.12815917,0.95964166,0.56254196,0.00174224,0.2002918
Transformer,6,96,FALSE,FALSE,TRUE,0.03442279,0.54684619,0.14134465,0.68088987,0.18553379,0.7394905,0.05919147,0.30772866,0.84632625,-1.37825517,0.00625227,0.38607356
Transformer,6,192,FALSE,FALSE,TRUE,0.06706981,0.73836884,0.20513991,0.79063663,0.2589784,0.85928391,0.08798672,0.35940881,0.66552378,-2.49856825,0.01296221,0.56214362
Transformer,6,336,FALSE,FALSE,TRUE,0.16157709,0.60877303,0.33225691,0.71765504,0.40196654,0.78023909,0.14626803,0.32574397,0.05387893,-2.18853436,0.0333602,0.9181214
Transformer,6,720,FALSE,FALSE,TRUE,0.40850753,0.79803805,0.54978776,0.83524094,0.63914591,0.89332975,0.24533802,0.37910322,-2.78391233,-4.17764338,0.0874063,1.6222589
Transformer,12,1,FALSE,FALSE,TRUE,0.00177755,0.13051149,0.03321418,0.3099002,0.04216102,0.36126374,0.01382895,0.13297003,0.99291158,0.478729,0.00030455,0.08419278
Transformer,12,12,FALSE,FALSE,TRUE,0.00580653,0.02475459,0.05416391,0.12993193,0.07620061,0.15733591,0.02231173,0.05685505,0.97654951,0.90014475,0.00098229,0.15295318
Transformer,12,24,FALSE,FALSE,TRUE,0.01095982,0.52218193,0.07724775,0.66219442,0.10468916,0.72262156,0.03213438,0.29831083,0.9550907,-1.13014352,0.00192603,0.21136454
Transformer,12,96,FALSE,FALSE,TRUE,0.04162654,0.70754391,0.15588202,0.77316769,0.20402582,0.84115629,0.0662516,0.35087037,0.81165131,-2.11824596,0.00788658,0.42748255
Transformer,12,192,FALSE,FALSE,TRUE,0.0861994,0.84005547,0.23871273,0.84182564,0.29359734,0.9165454,0.10419103,0.38323533,0.5684851,-3.02597828,0.01785421,0.64110386
Transformer,12,336,FALSE,FALSE,TRUE,0.15765788,0.59496045,0.32654309,0.70571524,0.39706156,0.77133679,0.14244378,0.31845915,0.08002544,-2.15056404,0.03130593,0.91217351
Transformer,12,720,FALSE,FALSE,TRUE,0.34903741,1.05419558,0.50124681,0.96276798,0.59079391,1.02674027,0.22299634,0.43843761,-2.24659916,-5.90882885,0.07347509,1.50787532
Transformer,24,1,FALSE,FALSE,TRUE,0.00180204,0.18696228,0.0299304,0.3787292,0.04245049,0.43239135,0.01168502,0.16568193,0.99264639,0.23621198,0.00025534,0.08575319
Transformer,24,12,FALSE,FALSE,TRUE,0.00546437,0.03149734,0.05143017,0.14663358,0.07392135,0.17747491,0.02103993,0.06635226,0.97739947,0.86997769,0.00090819,0.15013272
Transformer,24,24,FALSE,FALSE,TRUE,0.01073542,0.53074296,0.07611379,0.66763104,0.10361187,0.72852108,0.03182715,0.30153866,0.95491905,-1.2169827,0.00190822,0.21172075
Transformer,24,96,FALSE,FALSE,TRUE,0.04006069,0.6555349,0.15163863,0.74373896,0.20015167,0.8096511,0.06470046,0.33782471,0.81307461,-1.96652888,0.00775644,0.42515182
Transformer,24,192,FALSE,FALSE,TRUE,0.10645286,0.79426294,0.25549099,0.81863647,0.32627115,0.89121431,0.1105883,0.37292537,0.44498678,-2.89382124,0.02127477,0.7209354
Transformer,24,336,FALSE,FALSE,TRUE,0.35662979,0.79271238,0.52834034,0.82046635,0.5971849,0.89034397,0.23118448,0.37410929,-1.10463447,-3.29016949,0.07202751,1.38771641
Transformer,24,720,FALSE,FALSE,TRUE,0.20859386,1.02724364,0.37869579,0.95063233,0.45672077,1.01353028,0.16875215,0.433397,-0.95405418,-5.86844729,0.04465201,1.17859793
Transformer,48,1,FALSE,FALSE,TRUE,0.00140872,0.18413771,0.02654237,0.3790108,0.03753287,0.42911271,0.0106148,0.16730661,0.99395894,0.20987395,0.000217,0.07772427
