model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Informer,192,192,True,False,False,39.48628616,41.52532906,4.73441076,5.11968682,6.28381157,6.44401498,0.48877165,0.56960615,-1.30269267,-1.35792258,0.30974323,1.52265775,reduced
Informer,192,336,True,False,False,34.49463272,44.51755194,4.56806135,5.43548781,5.87321329,6.67214748,0.50849211,0.62737224,-1.46216354,-1.84528342,0.31270704,1.57097542,reduced
Informer,336,1,True,False,False,19.3067627,22.00626032,3.01074243,3.35860615,4.39394617,4.69108306,0.26759338,0.31335273,-0.07014794,-0.16207234,0.11675998,1.03447962,reduced
Informer,336,12,True,False,False,20.77991867,31.80423194,3.1592648,4.1496498,4.55849981,5.63952409,0.28381237,0.39479363,-0.14785168,-0.68598092,0.12731728,1.07139468,reduced
Informer,336,24,True,False,False,26.31692505,30.82675217,3.71715331,4.13344284,5.1300025,5.55218445,0.35167241,0.40427769,-0.44848463,-0.64110479,0.174024,1.20369077,reduced
Informer,336,96,True,False,False,35.8466835,40.52472599,4.55077505,5.03237646,5.9872098,6.36590339,0.46360385,0.53040947,-1.13247238,-1.22700378,0.27354327,1.46379507,reduced
Informer,336,192,True,False,False,38.13350677,46.69081909,4.86661434,5.58933267,6.17523336,6.83306806,0.5238474,0.61557273,-1.49164705,-1.74987568,0.32495093,1.58426559,reduced
Informer,336,336,True,False,False,40.50557709,47.08436829,5.10028076,5.68121936,6.36439896,6.86180503,0.55560941,0.63669754,-1.77391525,-2.12912275,0.35660115,1.67122912,reduced
Informer,504,1,True,False,False,23.40888023,22.66166456,3.50136948,3.49471701,4.83827257,4.76042693,0.30951917,0.32205595,-0.28847642,-0.24734809,0.14006579,1.13511074,reduced
Informer,504,12,True,False,False,21.93374443,31.1475936,3.3592124,4.16319861,4.6833477,5.58100292,0.30540514,0.38392538,-0.28277203,-0.72067469,0.13669728,1.13261294,reduced
Informer,504,24,True,False,False,27.03952789,38.35998789,3.8560214,4.83616068,5.19995451,6.19354405,0.36326599,0.4751341,-0.57722472,-1.12740928,0.17849188,1.25601268,reduced
Informer,504,96,True,False,False,43.32661057,44.09711059,5.24123383,5.37759215,6.58229542,6.64056553,0.52856481,0.5537729,-1.47991286,-1.52479973,0.32375416,1.57553947,reduced
Informer,504,192,True,False,False,39.83231735,50.11018785,5.03564978,5.91654037,6.31128502,7.07885498,0.50916862,0.63359446,-1.45006666,-2.08306845,0.30241981,1.56648767,reduced
Informer,6,1,True,False,True,17.92220688,22.71725917,2.67185426,3.26342594,4.23346281,4.7662626,0.22672553,0.30418733,0.11377434,-0.1141709,0.10082489,0.94139558,reduced
Informer,6,12,True,False,True,20.33420753,30.2251693,2.93097782,3.95064699,4.50934649,5.4977422,0.2567009,0.39707129,-0.0041937,-0.4877434,0.11898404,1.00210047,reduced
Informer,6,24,True,False,True,22.66469193,36.21624823,3.1106801,4.49454182,4.76074505,6.0179937,0.28462395,0.47761096,-0.20293773,-0.78943637,0.14372231,1.09698677,reduced
Informer,6,96,True,False,True,33.17644501,40.52538905,4.02915955,4.88667086,5.75989962,6.36595547,0.38970932,0.54471183,-0.71314497,-1.06461054,0.22855154,1.30984187,reduced
Informer,6,192,True,False,True,35.28700638,42.26388754,4.29316473,5.04681375,5.94028664,6.50106818,0.43577746,0.57399499,-0.95920876,-1.29958871,0.26637489,1.40270376,reduced
Informer,6,336,True,False,True,33.91153717,42.58745289,4.33124495,5.21056669,5.8233614,6.52590629,0.47606087,0.62250737,-1.27004766,-1.5977062,0.29882964,1.51183283,reduced
Informer,6,720,True,False,True,31.00115585,42.35727723,4.25364876,5.43351554,5.56786823,6.50824686,0.49801853,0.69699783,-1.68235257,-2.26485984,0.31114486,1.61123431,reduced
Informer,12,1,True,False,True,17.96865654,22.30022835,2.67237306,3.24987702,4.23894501,4.72231176,0.225417,0.30796756,0.1126513,-0.09507607,0.10067775,0.94199187,reduced
Informer,12,12,True,False,True,19.91447067,24.92671737,2.91169405,3.45528276,4.46256304,4.99266636,0.25510854,0.33150226,0.01824208,-0.22830085,0.11665395,0.99084532,reduced
Informer,12,24,True,False,True,22.70853996,27.07595306,3.12428999,3.71479464,4.76534796,5.20345588,0.28610498,0.37804118,-0.19773737,-0.33925669,0.1435674,1.09458113,reduced
Informer,12,96,True,False,True,34.69017029,44.31974373,4.18111324,5.18576481,5.88983631,6.65730754,0.41253865,0.58955644,-0.78383408,-1.26036707,0.24425061,1.33670092,reduced
Informer,12,192,True,False,True,37.46212769,42.65824409,4.44560146,5.06080066,6.12063122,6.5313279,0.45378408,0.57273794,-1.06317632,-1.32381423,0.28524521,1.44038892,reduced
